Sl No,Stock,EPS TTM Growth %,Day SMA50,Day SMA200,LTP,Day Chg %,Week Chg %,% Distance from 52W high,% Distance from 52W low,Golden Cross Day,Day ADX,Consolidated 30D average end of day Vol ,Consolidated 6M average end of day Vol ,Consolidated 5D average end of day Vol ,Basic EPS Qtr,Basic EPS 1Q Ago,Basic EPS 2Q Ago,Basic EPS 3Q Ago,Basic EPS 4Q Ago,EPS Qtr YoY Growth %,ROCE Ann  5Y Avg %,Consolidated previous end of day Vol ,Delivery Vol  Avg Month,Delivery Vol  Avg 6M,Day SMA20,Day SMA100,ROCE Ann  %,Day ROC125,Week Close,Week SMA10,Week ADX,Month Ended Close,Prev Month Ended Close,Price to Sales TTM,Price To Sales Ann ,Promoter holding change 2Y %,Public holding current Qtr %,Market Cap,ROCE Ann  3Y Avg %,NSE Code,BSE Code,ISIN
11,Neuland Laboratories,182.61,18740.82,15429.87,50000,-1.13,-0.08,2.43,102.62,,49.56,110975.95,66517.63,54183.2,115.1,165.76,31.62,75.49,10.83,962.4,19.66,52191,36459.77,24241.08,20556.49,16864.89,23.1,70.47,23320,19925.5,44.96,19043,18579,12.6,7.66,-0.1,29.78,29894.95,22.97,NEULANDLAB,524558,INE794A01010
12,Prime Focus,177.04,251.09,240.14,282.48,5.08,10.14,19.09,113.57,,25.55,1068171.68,1906763.74,1991058.6,-0.53,1.06,1.15,0.1,2.05,-166.81,15.06,722270,472544.18,683310.25,272.62,262.66,25.62,8.63,269.6,265.44,25.97,287.11,221.01,4.7,5.47,-9.15,34.79,23125.69,13.15,PFOCUS,532748,INE367G01038
13,Multi Commodity Exchange,136.36,2772.74,2512.07,3128.23,1.89,9.39,8.48,118.03,,25.46,2740665.95,3528038.8,3276423.4,16.21,20.78,15.73,38.72,39.84,103.47,17.46,4288199,1222505.64,1561727.83,2775.47,2819.76,39.15,39.5,2911.5,2812.44,26.25,2692.2,2837.2,30.87,26.48,0,19.34,81214.89,22.61,MCX,534091,INE745G01043
14,Hindustan Copper,133.9,509.93,502.61,574.1,2.25,8.25,24.65,152.62,,27.34,11604111.55,8535553.4,16086918.2,3.64,4.59,1.62,1.89,1.39,162.47,22.46,10618066,3650090.95,2584655.64,527.37,526.59,37.32,4.23,529.05,509.92,28.1,491.6,501.1,15.83,14.28,0,23.06,55381.46,24.77,HINDCOPPER,513599,INE531E01026
15,Aarti Industries,123.73,469.15,416.3,503.85,1.37,-1.29,2.68,55.95,,25.94,1809483.36,1393443.51,1142505,4.27,3.79,3.67,2.91,1.19,260.47,12.8,787394,618097.5,512860.96,483.38,453.83,8.44,15.88,534.1,494.66,24.02,489.1,458.3,2.12,1.75,-1.42,30.06,19122.95,8.21,AARTIIND,524208,INE769A01020
16,Navin Fluorine ,122.74,7561.72,6490.17,8015.6,-0.6,-0.35,6.48,82.43,,31.04,354125.95,232444.28,117754,47.45,41.49,36.18,29.06,23.63,107.67,15.07,67245,116209.95,106611.11,7807.57,7054.9,18.78,31.48,8235,7774.6,46.51,7567.5,7687,11.59,9.52,-1.72,20.73,42096.06,13.55,NAVINFLUOR,532504,INE048G01026
17,Craftsman Automation,120.37,10010.87,8366.43,10989.46,-0.43,3.84,2.88,68.32,,44.93,65989.5,102494.79,38624.6,62.12,51.85,46.32,38.09,36.89,116.31,17.39,15685,28503.23,35750.38,10613.84,9185.66,14.46,37.49,10251,9711.95,52.94,9873.5,9460,3.19,2.07,-6.29,7.41,27840.05,14.91,CRAFTSMAN,543276,INE00LO01017
18,Laurus Labs,114.88,1701.28,1280.32,1888.43,-1.26,0.82,3.68,118.93,,45.98,2250840.73,2228195.78,1476512.6,6.81,5.17,4.67,3.61,3.02,125.49,18.27,1363434,1078951.23,1151264.77,1900.76,1491.79,19.57,77.82,1787.3,1632.38,54.63,1816.2,1517.4,13.39,7.86,0.29,30.8,97364.26,13.11,LAURUSLABS,540222,INE947Q01028
19,One97 Communications,114.73,1340.99,1233.62,1652.59,1.77,1.81,1.54,75.37,,46.69,5029199.32,3512153.58,4586919.2,3.44,2.87,3.52,0.33,1.92,79.59,-8.55,5041497,2004828.32,1370999.3,1504.3,1230.43,4.82,39.57,1603,1342.89,24.63,1343,1141.5,11.67,7.27,0,27.04,104632.92,-4.8,PAYTM,543396,INE982J01020
20,PTC Industries,104.96,19390.96,18798.2,22054.99,5.13,8.29,0.77,53.95,,38.85,35894.14,24401.5,94543.8,19.47,39.96,12.25,12.1,3.44,466.23,9.28,15023,10745.77,8863.79,20113.4,18535.78,7.99,12.87,19050,18329.2,21.94,17737,17149,44.35,37.29,-3.16,26.98,30928.03,7.74,PTCIL,539006,INE596F01018
21,Netweb Technologies,101.27,4694.54,3817.28,5640.57,3.34,11.86,1.3,155.67,,32.38,2000628.59,2021484.22,3137008.4,14.98,12.43,12.94,5.55,5.38,179.94,42.18,4781301,416747.41,380895.38,4898.35,4325.73,39.26,80.75,5007.2,4720.88,37.92,4524,4538.2,11.8,8.08,-8.06,17.84,31892.49,31.16,NETWEB,543945,INE0NT901020
22,Minda Corporation,95.33,742.51,637.23,778.64,-2.08,1.08,5.35,55.36,,33.99,761965.68,577422.32,704896,8.75,5.29,3.64,3.6,2.78,215.46,15.01,591909,244008.73,255940.33,769.92,665.53,15.12,23.92,720.05,695.07,31.85,624.4,624.4,2.62,1.96,0,7.99,17401.39,14.83,MINDACORP,538962,INE842C01021
23,Capri Global Capital,95.19,240.93,201.57,231.93,-0.48,-1.1,15.31,48.27,,27.11,4154977.86,3813402.89,3509285.4,3.67,2.94,2.66,2.45,2.05,102.04,31.99,4130646,1535823.95,1644435.82,238.08,217.54,40.81,29.4,226.52,233.23,30.12,232.38,227.66,4.06,3.37,-9.97,13.45,21555.14,38.29,CGCL,531595,INE180C01042
24,Aegis Logistics,88.67,1282.47,863.71,1448.17,6.11,12.05,5.33,146.12,,29.69,1239600.41,2292168.32,1307383,13.8,11.69,5.04,5.12,3.74,268.9,13.85,326265,367346.82,478277.23,1351.68,998.97,14.32,103.47,1265.4,1275.38,43.48,1280.8,1173.95,5.55,2.52,0,18.76,49768.29,13.29,AEGISLOG,500003,INE208C01025
25,Syrma SGS Technology,83.87,1309.07,930.93,1351.46,-0.3,-1.77,6.72,126.84,,27.05,1766144.59,1581936.58,1292461.6,5.19,5.29,5.73,3.44,2.79,101.19,13.37,1413866,572177.32,509521.1,1339.55,1129.31,14.96,66.74,1465.2,1394.58,47.38,1366.8,1396.3,5.07,3.09,-4.61,34.3,27701.37,13.68,SYRMA,543573,INE0DYJ01015
